"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"64","PC7","I/O","","","TIM22_CH2","","TIM3_CH2","","","","",""
"65","PC8","I/O","","","TIM22_ETR","","TIM3_CH3","","","","",""
"66","PC9","I/O","","","TIM21_ETR","","TIM3_CH4","","","","","I2C3_SDA"
"67","PA8","I/O","","","RCC_MCO","","","EVENTOUT","USART1_CK","","","I2C3_SCL"
"68","PA9","I/O","","","RCC_MCO","","","","USART1_TX","","I2C1_SCL","I2C3_SMBA"
"69","PA10","I/O","","","","","","","USART1_RX","","I2C1_SDA",""
"70","PA11","I/O","","","SPI1_MISO","","EVENTOUT","","USART1_CTS","","","COMP1_OUT"
"71","PA12","I/O","","","SPI1_MOSI","","EVENTOUT","","USART1_DE/USART1_RTS","","","COMP2_OUT"
"72","PA13","I/O","","","SYS_SWDIO","","","","","","LPUART1_RX",""
"73","VDD","Power","","","","","","","","","",""
"74","VSS","Power","","","","","","","","","",""
"75","VDDIO2","Power","","","","","","","","","",""
"76","PA14","I/O","","","SYS_SWCLK","","","","USART2_TX","","LPUART1_TX",""
"77","PA15","I/O","","","SPI1_NSS","","TIM2_ETR","EVENTOUT","USART2_RX","TIM2_CH1","USART4_DE/USART4_RTS",""
"78","PC10","I/O","","","LPUART1_TX","","","","","","USART4_TX",""
"79","PC11","I/O","","","LPUART1_RX","","","","","","USART4_RX",""
"80","PC12","I/O","","","","","USART5_TX","","","","USART4_CK",""
"81","PD0","I/O","","","TIM21_CH1","I2S2_WS/SPI2_NSS","","","","","",""
"82","PD1","I/O","","","","I2S2_CK/SPI2_SCK","","","","","",""
"83","PD2","I/O","","","LPUART1_DE/LPUART1_RTS","","TIM3_ETR","","","","USART5_RX",""
"84","PD3","I/O","","","USART2_CTS","","I2S2_MCK/SPI2_MISO","","","","",""
"85","PD4","I/O","","","USART2_DE/USART2_RTS","I2S2_SD/SPI2_MOSI","","","","","",""
"86","PD5","I/O","","","USART2_TX","","","","","","",""
"87","PD6","I/O","","","USART2_RX","","","","","","",""
"88","PD7","I/O","","","USART2_CK","TIM21_CH2","","","","","",""
"89","PB3","I/O","","","SPI1_SCK","","TIM2_CH2","","EVENTOUT","USART1_DE/USART1_RTS","USART5_TX",""
"90","PB4","I/O","","","SPI1_MISO","","TIM3_CH1","","TIM22_CH1","USART1_CTS","USART5_RX","I2C3_SDA"
"91","PB5","I/O","","","SPI1_MOSI","","LPTIM1_IN1","I2C1_SMBA","TIM22_CH2/TIM3_CH2","USART1_CK","USART5_CK/USART5_DE/USART5_RTS",""
"92","PB6","I/O","","","USART1_TX","I2C1_SCL","LPTIM1_ETR","","","","",""
"93","PB7","I/O","","","USART1_RX","I2C1_SDA","LPTIM1_IN2","","","","USART4_CTS",""
"94","BOOT0","Boot","","","","","","","","","",""
"95","PB8","I/O","","","","","","","I2C1_SCL","","",""
"96","PB9","I/O","","","","","EVENTOUT","","I2C1_SDA","I2S2_WS/SPI2_NSS","",""
"97","PE0","I/O","","","","","EVENTOUT","","","","",""
"98","PE1","I/O","","","","","EVENTOUT","","","","",""
"99","VSS","Power","","","","","","","","","",""
"100","VDD","Power","","","","","","","","","",""
